list_id,hts8,year,active_301_rate
list1,8406.82.90,2018,0.125
list1,8406.82.90,2019,0.25
list1,8406.82.90,2020,0.25
list1,8406.82.90,2021,0.25
list1,8406.82.90,2022,0.25
list1,8406.82.90,2023,0.25
list1,8406.82.90,2024,0.25
list1,8406.82.90,2025,0.25
list1,8413.91.10,2016,0.0
list1,8413.91.10,2017,0.0
list1,8413.91.10,2018,0.125
list1,8413.91.10,2019,0.25
list1,8413.91.10,2020,0.25
list1,8413.91.10,2021,0.25
list1,8413.91.10,2022,0.25
list1,8413.91.10,2023,0.25
list1,8413.91.10,2024,0.25
list1,8413.91.10,2025,0.25
list1,8421.91.60,2016,0.0
list1,8421.91.60,2017,0.0
list1,8421.91.60,2018,0.125
list1,8421.91.60,2019,0.25
list1,8421.91.60,2020,0.25
list1,8421.91.60,2021,0.25
list1,8421.91.60,2022,0.25
list1,8421.91.60,2023,0.25
list1,8421.91.60,2024,0.25
list1,8421.91.60,2025,0.25
list1,8429.59.50,2016,0.0
list1,8429.59.50,2017,0.0
list1,8429.59.50,2018,0.125
list1,8429.59.50,2019,0.25
list1,8429.59.50,2020,0.25
list1,8429.59.50,2021,0.25
list1,8429.59.50,2022,0.25
list1,8429.59.50,2023,0.25
list1,8429.59.50,2024,0.25
list1,8429.59.50,2025,0.25
list1,8407.10.00,2016,0.0
list1,8407.10.00,2017,0.0
list1,8407.10.00,2018,0.125
list1,8407.10.00,2019,0.25
list1,8407.10.00,2020,0.25
list1,8407.10.00,2021,0.25
list1,8407.10.00,2022,0.25
list1,8407.10.00,2023,0.25
list1,8407.10.00,2024,0.25
list1,8407.10.00,2025,0.25
list1,8413.91.20,2016,0.0
list1,8413.91.20,2017,0.0
list1,8413.91.20,2018,0.125
list1,8413.91.20,2019,0.25
list1,8413.91.20,2020,0.25
list1,8413.91.20,2021,0.25
list1,8413.91.20,2022,0.25
