hts8,naics_str,import_value_2017_china,naics_import_total_2017_china,hs8_naics_weight
5911.32.00,313210,1.833423,874.327846,0.0020969513991665775
5911.40.00,313210,4.985396,874.327846,0.005701975549341019
5911.90.00,313220,65.686236,229.788995,0.28585457715240015
6001.10.20,313240,9.459702,484.394215,0.019528932648380206
6001.10.60,313240,0.134516,484.394215,0.00027769943536588273
6001.21.00,313240,0.748854,484.394215,0.001545959833562422
6001.22.00,313240,47.420148,484.394215,0.0978957768932067
6001.29.00,313240,0.489453,484.394215,0.0010104435289343826
6001.91.00,313240,0.276655,484.394215,0.0005711360528944385
6001.92.00,313240,31.399819,484.394215,0.06482286127219748
6001.99.10,313240,0.005519,484.394215,1.139361253519512e-05
6001.99.90,313240,0.781488,484.394215,0.0016133305803414683
6002.40.40,313240,0.174874,484.394215,0.00036101587216519506
6002.40.80,313240,1.5597,484.394215,0.0032198980741336893
6002.90.40,313240,0.079749,484.394215,0.000164636565694741
6002.90.80,313240,2.056603,484.394215,0.004245721638108333
6003.10.10,313240,0.007896,484.394215,1.630077270844368e-05
6003.10.90,313240,0.00195,484.394215,4.025646755504708e-06
6003.20.10,313240,0.493124,484.394215,0.0010180220670058995
6003.20.30,313240,0.46389499999999995,484.394215,0.0009576807187922341
6003.30.10,313240,5.156455,484.394215,0.010645162225977452
6003.30.60,313240,4.639142,484.394215,0.009577203559295191
6003.40.10,313240,0.017267,484.394215,3.5646585911435794e-05
6003.40.60,313240,0.109941,484.394215,0.00022696596407535544
6003.90.10,313240,0.066008,484.394215,0.00013626917489095117
6003.90.90,313240,0.161334,484.394215,0.00033306343264235725
6004.10.00,313240,54.823339,484.394215,0.11317917783142807
6004.90.20,313240,1.409499,484.394215,0.0029098179878139134
6004.90.90,313240,1.649029,484.394215,0.003404311919786243
6005.21.00,313240,0.075114,484.394215,0.00015506791302204135
6005.22.00,313240,0.650094,484.394215,0.0013420763086528604
6005.23.00,313240,0.090294,484.394215,0.00018640602468797033
6005.24.00,313240,0.429431,484.394215,0.0008865320573657141
6005.35.00,313240,7.549665,484.394215,0.015585786878152541
6005.36.00,313240,12.753746,484.394215,0.02632926984893905
6005.37.00,313240,41.082739000000004,484.394215,0.08481261280133168
6005.38.00,313240,3.674249,484.394215,0.007585245418341754
6005.39.00,313240,14.13829,484.394215,0.029187569880453672
6005.41.00,313240,0.41757900000000003,484.394215,0.0008620643828291799
6005.42.00,313240,1.129262,484.394215,0.0023312871314947474
6005.43.00,313240,0.180926,484.394215,0.0003735098281468948
6005.44.00,313240,0.064057,484.394215,0.00013224146370121288
6005.90.90,313240,1.834492,484.394215,0.0037871880860509454
6006.10.00,313240,0.169984,484.394215,0.0003509207887629294
6006.21.10,313240,0.135248,484.394215,0.0002792106012248722
6006.21.90,313240,1.144288,484.394215,0.0023623073202887032
6006.22.10,313240,0.245595,484.394215,0.000507014725599066
6006.22.90,313240,4.899155,484.394215,0.01011398329767419
6006.23.90,313240,0.556616,484.394215,0.0011490971253651327
6006.24.10,313240,0.013571,484.394215,2.801643698407918e-05
6006.24.90,313240,3.091115,484.394215,0.0063814036259702235
6006.31.00,313240,38.149568,484.394215,0.07875727417595192
6006.32.00,313240,68.515342,484.394215,0.14144541755107462
6006.33.00,313240,23.099268,484.394215,0.04768691963011986
6006.34.00,313240,28.977963,484.394215,0.05982309883696691
6006.41.00,313240,2.477027,484.394215,0.005113659336332082
6006.42.00,313240,42.647044,484.394215,0.08804201759511104
6006.43.00,313240,1.478218,484.394215,0.003051683843912133
6006.44.00,313240,4.756865,484.394215,0.009820234950576361
6006.90.10,313240,0.042087,484.394215,8.688584358919316e-05
6006.90.90,313240,2.855694,484.394215,0.005895392454263725
6101.20.00,315220,149.21710099999999,6457.105895,0.023108975356211033
6101.30.10,315220,0.42606499999999997,6457.105895,6.598389540582252e-05
6101.30.15,315220,1.57841,6457.105895,0.0002444454258094524
6101.30.20,315220,160.968206,6457.105895,0.024928847167373272
6101.90.05,315220,2.0247,6457.105895,0.0003135615294102282
6101.90.10,315220,0.0066170000000000005,6457.105895,1.0247625031399613e-06
6101.90.90,315220,0.8249599999999999,6457.105895,0.00012776002336260274
6102.10.00,315240,23.721423,18029.104548,0.0013157294050209199
6102.20.00,315240,116.68388399999999,18029.104548,0.006471973341179828
6102.30.05,315240,0.10606499999999999,18029.104548,5.882987683476824e-06
6102.30.10,315240,3.576585,18029.104548,0.00019837840478864808
6102.30.20,315240,215.633954,18029.104548,0.011960325230013747
6102.90.10,315240,0.348512,18029.104548,1.9330521883221374e-05
6102.90.90,315240,4.139766,18029.104548,0.0002296157298871081
6103.10.10,315220,0.111459,6457.105895,1.7261448365947854e-05
6103.10.20,315220,0.000674,6457.105895,1.0438112847458576e-07
6103.10.30,315220,0.191002,6457.105895,2.9580125075523484e-05
6103.10.40,315220,0.064263,6457.105895,9.952291482436653e-06
6103.10.50,315220,0.102355,6457.105895,1.585152879082526e-05
6103.10.60,315220,0.34455800000000003,6457.105895,5.336105766312511e-05
6103.10.70,315220,0.620076,6457.105895,9.603001872404633e-05
6103.10.90,315220,0.085304,6457.105895,1.3210872082190005e-05
6103.22.00,315220,1.0986449999999999,6457.105895,0.0001701451111171532
6103.23.00,315220,0.017211,6457.105895,2.6654356115372336e-06
6103.31.00,315220,0.8508709999999999,6457.105895,0.00013177281181943508
6103.32.00,315220,8.101645,6457.105895,0.0012546867175081383
6103.33.10,315220,0.45214299999999996,6457.105895,7.002254684255879e-05
6103.33.20,315220,5.794749,6457.105895,0.0008974220175771178
