sector_code,sector_name,summary_code,summary_name,underlying_summary_code,underlying_summary_name,detail_code,detail_name,go_detail_code,go_detail_name,notes,naics_2017
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333914,"Measuring, dispensing, and other pumping equipment manufacturing",333914,"Measuring, dispensing, and other pumping equipment manufacturing",,333914
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333912,Air and gas compressor manufacturing,333912,Air and gas compressor manufacturing,,333912
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333920,Material handling equipment manufacturing,333920,Material handling equipment manufacturing,,33392
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333991,Power-driven handtool manufacturing,333991,Power-driven handtool manufacturing,,333991
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33399A,Other general purpose machinery manufacturing,33399A,Other general purpose machinery manufacturing,,333992
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33399A,Other general purpose machinery manufacturing,33399A,Other general purpose machinery manufacturing,,333997
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33399A,Other general purpose machinery manufacturing,33399A,Other general purpose machinery manufacturing,,333999
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333993,Packaging machinery manufacturing,333993,Packaging machinery manufacturing,,333993
33DG,Durable goods,333,Machinery,3332OM,Other machinery,333994,Industrial process furnace and oven manufacturing,333994,Industrial process furnace and oven manufacturing,,333994
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33399B,Fluid power process machinery,33399B,Fluid power process machinery,,333995
33DG,Durable goods,333,Machinery,3332OM,Other machinery,33399B,Fluid power process machinery,33399B,Fluid power process machinery,,333996
33DG,Durable goods,334,Computer and electronic products,3341,Computer and peripheral equipment manufacturing,334111,Electronic computer manufacturing,334111,Electronic computer manufacturing,,334111
33DG,Durable goods,334,Computer and electronic products,3341,Computer and peripheral equipment manufacturing,334112,Computer storage device manufacturing,334112,Computer storage device manufacturing,,334112
33DG,Durable goods,334,Computer and electronic products,3341,Computer and peripheral equipment manufacturing,334118,Computer terminals and other computer peripheral equipment manufacturing,334118,Computer terminals and other computer peripheral equipment manufacturing,,334118
33DG,Durable goods,334,Computer and electronic products,3342,Communications equipment manufacturing,334210,Telephone apparatus manufacturing,334210,Telephone apparatus manufacturing,,33421
33DG,Durable goods,334,Computer and electronic products,3342,Communications equipment manufacturing,334220,Broadcast and wireless communications equipment,334220,Broadcast and wireless communications equipment,,33422
33DG,Durable goods,334,Computer and electronic products,3342,Communications equipment manufacturing,334290,Other communications equipment manufacturing,334290,Other communications equipment manufacturing,,33429
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,334413,Semiconductor and related device manufacturing,334413,Semiconductor and related device manufacturing,,334413
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,334418,Printed circuit assembly (electronic assembly) manufacturing,334418,Printed circuit assembly (electronic assembly) manufacturing,,334418
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,33441A,Other electronic component manufacturing,33441A,Other electronic component manufacturing,,334412
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,33441A,Other electronic component manufacturing,33441A,Other electronic component manufacturing,,334416
33DG,Durable goods,334,Computer and electronic products,3344,Semiconductor and other electronic component manufacturing,33441A,Other electronic component manufacturing,33441A,Other electronic component manufacturing,,334417
