naics_str,year,tariff_301_direct,targeted_import_share_2017_china,china_import_value_2017,n_hs8_total,n_hs8_targeted
112920,2024.0,0.07642834416617425,1.0,1.232056,2.0,2.0
112920,2025.0,0.07642834416617425,1.0,1.232056,2.0,2.0
112930,2016.0,0.0,1.0,0.045985,4.0,0.0
112930,2017.0,0.0,1.0,0.045985,4.0,0.0
112930,2018.0,0.06141078612591063,1.0,0.045985,4.0,3.0
112930,2019.0,0.040940524083940416,1.0,0.045985,4.0,3.0
112930,2020.0,0.06141078612591063,1.0,0.045985,4.0,3.0
112930,2021.0,0.06141078612591063,1.0,0.045985,4.0,3.0
112930,2022.0,0.06141078612591063,1.0,0.045985,4.0,3.0
112930,2023.0,0.06141078612591063,1.0,0.045985,4.0,3.0
112930,2024.0,0.06141078612591063,1.0,0.045985,4.0,3.0
112930,2025.0,0.06141078612591063,1.0,0.045985,4.0,3.0
112990,2016.0,0.0,0.9999999999999998,35.308945,9.0,0.0
112990,2017.0,0.0,0.9999999999999998,35.308945,9.0,0.0
112990,2018.0,0.07492163694874863,0.9999999999999998,35.308945,9.0,9.0
112990,2019.0,0.050282106984504915,0.9999999999999998,35.308945,9.0,9.0
112990,2020.0,0.07532912481525574,0.9999999999999998,35.308945,9.0,9.0
112990,2021.0,0.07532912481525574,0.9999999999999998,35.308945,9.0,9.0
112990,2022.0,0.07532912481525574,0.9999999999999998,35.308945,9.0,9.0
112990,2023.0,0.07532912481525574,0.9999999999999998,35.308945,9.0,9.0
112990,2024.0,0.07532912481525574,0.9999999999999998,35.308945,9.0,9.0
112990,2025.0,0.07532912481525574,0.9999999999999998,35.308945,9.0,9.0
113210,2016.0,0.0,0.9925607425265572,237.580297,20.0,0.0
113210,2017.0,0.0,0.9925607425265572,237.580297,20.0,0.0
113210,2018.0,0.07129295125568991,0.9925607425265572,237.580297,20.0,20.0
113210,2019.0,0.06096481308801461,0.9925607425265572,237.580297,20.0,20.0
113210,2020.0,0.08766829431145966,0.9925607425265572,237.580297,20.0,20.0
113210,2021.0,0.08766829431145966,0.9925607425265572,237.580297,20.0,20.0
113210,2022.0,0.08766829431145966,0.9925607425265572,237.580297,20.0,20.0
113210,2023.0,0.08766829431145966,0.9925607425265572,237.580297,20.0,20.0
113210,2024.0,0.08766829431145966,0.9925607425265572,237.580297,20.0,20.0
113210,2025.0,0.08766829431145966,0.9925607425265572,237.580297,20.0,20.0
113310,2016.0,0.0,0.9999999999999998,4.8193280000000005,6.0,0.0
113310,2017.0,0.0,0.9999999999999998,4.8193280000000005,6.0,0.0
113310,2018.0,0.03333333333333333,0.9999999999999998,4.8193280000000005,6.0,6.0
113310,2019.0,0.19999999999999996,0.9999999999999998,4.8193280000000005,6.0,6.0
113310,2020.0,0.24999999999999997,0.9999999999999998,4.8193280000000005,6.0,6.0
113310,2021.0,0.24999999999999997,0.9999999999999998,4.8193280000000005,6.0,6.0
113310,2022.0,0.24999999999999997,0.9999999999999998,4.8193280000000005,6.0,6.0
113310,2023.0,0.24999999999999997,0.9999999999999998,4.8193280000000005,6.0,6.0
113310,2024.0,0.24999999999999997,0.9999999999999998,4.8193280000000005,6.0,6.0
113310,2025.0,0.24999999999999997,0.9999999999999998,4.8193280000000005,6.0,6.0
114111,2016.0,0.0,0.7609269685032469,1503.5266410000002,77.0,0.0
114111,2017.0,0.0,0.7609269685032469,1503.5266410000002,77.0,0.0
114111,2018.0,0.025364232283441566,0.7609269685032469,1503.5266410000002,77.0,77.0
114111,2019.0,0.15218539370064937,0.7609269685032469,1503.5266410000002,77.0,77.0
114111,2020.0,0.19023174212581176,0.7609269685032469,1503.5266410000002,77.0,77.0
114111,2021.0,0.19023174212581176,0.7609269685032469,1503.5266410000002,77.0,77.0
114111,2022.0,0.19023174212581176,0.7609269685032469,1503.5266410000002,77.0,77.0
114111,2023.0,0.19023174212581176,0.7609269685032469,1503.5266410000002,77.0,77.0
114111,2024.0,0.19023174212581176,0.7609269685032469,1503.5266410000002,77.0,77.0
114111,2025.0,0.19023174212581176,0.7609269685032469,1503.5266410000002,77.0,77.0
114112,2016.0,0.0,1.0,716.184721,43.0,0.0
114112,2017.0,0.0,1.0,716.184721,43.0,0.0
114112,2018.0,0.03333333333333334,1.0,716.184721,43.0,43.0
114112,2019.0,0.2,1.0,716.184721,43.0,43.0
114112,2020.0,0.25000000000000006,1.0,716.184721,43.0,43.0
114112,2021.0,0.25000000000000006,1.0,716.184721,43.0,43.0
114112,2022.0,0.25000000000000006,1.0,716.184721,43.0,43.0
114112,2023.0,0.25000000000000006,1.0,716.184721,43.0,43.0
114112,2024.0,0.25000000000000006,1.0,716.184721,43.0,43.0
114112,2025.0,0.25000000000000006,1.0,716.184721,43.0,43.0
114119,2016.0,0.0,1.0,28.039356,6.0,0.0
114119,2017.0,0.0,1.0,28.039356,6.0,0.0
114119,2018.0,0.041603002876861125,1.0,28.039356,6.0,6.0
114119,2019.0,0.17022918964329994,1.0,28.039356,6.0,6.0
114119,2020.0,0.21526738791718325,1.0,28.039356,6.0,6.0
114119,2021.0,0.21526738791718325,1.0,28.039356,6.0,6.0
114119,2022.0,0.21526738791718325,1.0,28.039356,6.0,6.0
114119,2023.0,0.21526738791718325,1.0,28.039356,6.0,6.0
114119,2024.0,0.21526738791718325,1.0,28.039356,6.0,6.0
114119,2025.0,0.21526738791718325,1.0,28.039356,6.0,6.0
211111,2016.0,0.0,1.0,0.031959,1.0,0.0
211111,2017.0,0.0,1.0,0.031959,1.0,0.0
211111,2018.0,0.03333333333333333,1.0,0.031959,1.0,1.0
211111,2019.0,0.19999999999999998,1.0,0.031959,1.0,1.0
211111,2020.0,0.25,1.0,0.031959,1.0,1.0
211111,2021.0,0.25,1.0,0.031959,1.0,1.0
211111,2022.0,0.25,1.0,0.031959,1.0,1.0
211111,2023.0,0.25,1.0,0.031959,1.0,1.0
211111,2024.0,0.25,1.0,0.031959,1.0,1.0
211111,2025.0,0.25,1.0,0.031959,1.0,1.0
211112,2016.0,0.0,1.0,1.4807519999999998,3.0,0.0
211112,2017.0,0.0,1.0,1.4807519999999998,3.0,0.0
211112,2018.0,0.03333333333333333,1.0,1.4807519999999998,3.0,3.0
211112,2019.0,0.2,1.0,1.4807519999999998,3.0,3.0
211112,2020.0,0.25,1.0,1.4807519999999998,3.0,3.0
211112,2021.0,0.25,1.0,1.4807519999999998,3.0,3.0
211112,2022.0,0.25,1.0,1.4807519999999998,3.0,3.0
211112,2023.0,0.25,1.0,1.4807519999999998,3.0,3.0
211112,2024.0,0.25,1.0,1.4807519999999998,3.0,3.0
211112,2025.0,0.25,1.0,1.4807519999999998,3.0,3.0
212111,2016.0,0.0,1.0,0.207948,1.0,0.0
212111,2017.0,0.0,1.0,0.207948,1.0,0.0
212111,2018.0,0.03333333333333333,1.0,0.207948,1.0,1.0
212111,2019.0,0.19999999999999998,1.0,0.207948,1.0,1.0
212111,2020.0,0.25,1.0,0.207948,1.0,1.0
212111,2021.0,0.25,1.0,0.207948,1.0,1.0
212111,2022.0,0.25,1.0,0.207948,1.0,1.0
212111,2023.0,0.25,1.0,0.207948,1.0,1.0
212111,2024.0,0.25,1.0,0.207948,1.0,1.0
212111,2025.0,0.25,1.0,0.207948,1.0,1.0
212112,2016.0,0.0,1.0,0.176631,1.0,0.0
212112,2017.0,0.0,1.0,0.176631,1.0,0.0
212112,2018.0,0.03333333333333333,1.0,0.176631,1.0,1.0
212112,2019.0,0.19999999999999998,1.0,0.176631,1.0,1.0
212112,2020.0,0.25,1.0,0.176631,1.0,1.0
212112,2021.0,0.25,1.0,0.176631,1.0,1.0
212112,2022.0,0.25,1.0,0.176631,1.0,1.0
212112,2023.0,0.25,1.0,0.176631,1.0,1.0
212112,2024.0,0.25,1.0,0.176631,1.0,1.0
212112,2025.0,0.25,1.0,0.176631,1.0,1.0
212113,2016.0,0.0,1.0,0.374886,1.0,0.0
212113,2017.0,0.0,1.0,0.374886,1.0,0.0
212113,2018.0,0.03333333333333333,1.0,0.374886,1.0,1.0
212113,2019.0,0.19999999999999998,1.0,0.374886,1.0,1.0
212113,2020.0,0.25,1.0,0.374886,1.0,1.0
212113,2021.0,0.25,1.0,0.374886,1.0,1.0
212113,2022.0,0.25,1.0,0.374886,1.0,1.0
212113,2023.0,0.25,1.0,0.374886,1.0,1.0
212113,2024.0,0.25,1.0,0.374886,1.0,1.0
