naics,naics_str,naics_desc,R0_2017,S0_2017,E0_2017,T0_2017,R0_2018,S0_2018,E0_2018,T0_2018,R0,S0,E0,T0
3159.0,3159,Apparel Accessories and Other Apparel Manufacturing,0.0,0.014593428576300813,0.02032874925884067,0.0,0.0047992540580312935,0.03736898806416228,0.041006391324088384,0.02846973926152536,0.0047992542,0.022775559,0.020677643,0.02846974
3161.0,3161,Leather and Hide Tanning and Finishing,0.0,0.0008906712439375677,0.0008590247677193902,0.0,0.013744575053933193,0.0035554360764859733,0.0034351707830755,0.003330677351338781,0.013744575,0.0026647649,0.002576146,0.0033306773
3162.0,3162,Footwear Manufacturing,0.0,0.0,0.0,0.0,0.0051569158357843824,0.0,0.0,0.0,0.0051569156,0.0,0.0,0.0
3169.0,3169,Other Leather and Allied Product Manufacturing,0.0,0.07193359330217514,0.06887348108135423,0.0,0.004713637038994415,0.11514955199608806,0.10918404002499475,0.054043461876583127,0.004713637,0.04321596,0.040310558,0.05404346
3211.0,3211,Sawmills and Wood Preservation,0.0,0.0,0.0,0.0,0.02505863030575398,0.00046043133993069587,0.000369349012912214,0.000620919927259471,0.02505863,0.00046043133,0.000369349,0.0006209199
3212.0,3212,"Veneer, Plywood, and Engineered Wood Product Manufacturing",0.0,0.0059847416921501055,0.00725138980488278,0.0,0.010939823301758344,0.017095907627080915,0.017377405031832206,0.018752305573078883,0.010939823,0.011111166,0.010126015,0.018752305
3219.0,3219,Other Wood Product Manufacturing,0.0,0.008542656145512648,0.007828649837027971,0.0,0.0015794094981253426,0.033484633872994204,0.02896215423728729,0.030755298788157498,0.0015794095,0.024941977,0.021133505,0.030755298
3221.0,3221,"Pulp, Paper, and Paperboard Mills",0.0,2.4631037616280257e-08,1.9352046271000828e-08,0.0,0.009404182348688658,0.0013252902569544128,0.0010442622403943952,0.001666193463548492,0.009404182,0.0013252656,0.0010442429,0.0016661935
3222.0,3222,Converted Paper Product Manufacturing,0.0,0.0016074767547877287,0.0014986733354493988,0.0,0.011969864487345726,0.027366883743993993,0.022665293740921185,0.03055534209869655,0.011969864,0.025759406,0.02116662,0.030555341
3231.0,3231,Printing and Related Support Activities,0.0,2.677501179742269e-05,2.40474521879688e-05,0.0,0.010959452258129707,0.007417007272082655,0.0062670843725269165,0.009237749161986327,0.010959452,0.0073902323,0.006243037,0.0092377495
3241.0,3241,Petroleum and Coal Products Manufacturing,0.0,3.01077194077061e-07,1.3467219148591594e-05,0.0,0.0032863671980354787,8.453512502877895e-05,3.445452992224616e-05,0.00017871090341160082,0.0032863673,8.4234045e-05,2.098731e-05,0.0001787109
3251.0,3251,Basic Chemical Manufacturing,0.0,0.001481703930158391,0.0029156032317334286,0.0,0.007499332394229571,0.008989427142713531,0.008630943241052786,0.009280132460083478,0.0074993325,0.0075077233,0.00571534,0.009280132
3252.0,3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",0.0,0.003151331061558392,0.0037471667455118204,0.0,0.010644299939618518,0.013813588206251205,0.012774055192936711,0.011625980239788603,0.0106443,0.010662257,0.009026889,0.01162598
