Series_ID,Year,Month,Value
CUUR0000SAM,2018,7,485.193
CUUR0000SAM,2018,6,486.019
CUUR0000SAM,2018,5,484.853
CUUR0000SAM,2018,4,484.034
CUUR0000SAM,2018,3,483.984
CUUR0000SAM,2018,2,482.897
CUUR0000SAM,2018,1,481.06
CUUR0000SAM,2017,12,477.802
CUUR0000SAM,2017,11,477.198
CUUR0000SAM,2017,10,477.121
CUUR0000SAM,2017,9,476.485
CUUR0000SAM,2017,8,476.869
CUUR0000SAM,2017,7,476.126
CUUR0000SAM,2017,6,474.36
CUUR0000SAM,2017,5,473.512
CUUR0000SAM,2017,4,473.582
CUUR0000SAM,2017,3,474.561
CUUR0000SAM,2017,2,474.546
CUUR0000SAM,2017,1,471.7
CUUR0000SAM,2016,12,469.447
CUUR0000SAM,2016,11,469.333
CUUR0000SAM,2016,10,469.23
CUUR0000SAM,2016,9,469.154
CUUR0000SAM,2016,8,468.379
CUUR0000SAM,2016,7,464.164
CUUR0000SAM,2016,6,462.075
CUUR0000SAM,2016,5,461.23
CUUR0000SAM,2016,4,459.994
CUUR0000SAM,2016,3,458.62
CUUR0000SAM,2016,2,458.295
CUUR0000SAM,2016,1,454.175
CUUR0000SAM,2015,12,451.072
CUUR0000SAM,2015,11,451.371
CUUR0000SAM,2015,10,450.065
CUUR0000SAM,2015,9,447.289
CUUR0000SAM,2015,8,446.536
CUUR0000SAM,2015,7,446.773
CUUR0000SAM,2015,6,446.271
CUUR0000SAM,2015,5,447.213
CUUR0000SAM,2015,4,446.663
CUUR0000SAM,2015,3,444.02
CUUR0000SAM,2015,2,442.783
CUUR0000SAM,2015,1,440.969
CUUR0000SEHA,2025,1,429.506
CUUR0000SEHA,2024,12,428.151
CUUR0000SEHA,2024,11,426.651
CUUR0000SEHA,2024,10,425.381
CUUR0000SEHA,2024,9,423.821
CUUR0000SEHA,2024,8,422.223
CUUR0000SEHA,2024,7,420.577
CUUR0000SEHA,2024,6,418.82
CUUR0000SEHA,2024,5,417.772
CUUR0000SEHA,2024,4,416.386
CUUR0000SEHA,2024,3,415.219
CUUR0000SEHA,2024,2,413.695
CUUR0000SEHA,2024,1,412.019
CUUR0000SEHA,2023,12,410.606
CUUR0000SEHA,2023,11,408.838
CUUR0000SEHA,2023,10,406.683
CUUR0000SEHA,2023,9,404.487
CUUR0000SEHA,2023,8,402.247
CUUR0000SEHA,2023,7,400.21
CUUR0000SEHA,2023,6,398.593
CUUR0000SEHA,2023,5,396.726
CUUR0000SEHA,2023,4,394.898
CUUR0000SEHA,2023,3,392.91
CUUR0000SEHA,2023,2,391.141
CUUR0000SEHA,2023,1,388.372
CUUR0000SEHA,2022,12,385.649
CUUR0000SEHA,2022,11,382.562
CUUR0000SEHA,2022,10,379.436
CUUR0000SEHA,2022,9,376.569
CUUR0000SEHA,2022,8,373.283
CUUR0000SEHA,2022,7,370.448
CUUR0000SEHA,2022,6,367.927
CUUR0000SEHA,2022,5,365.116
CUUR0000SEHA,2022,4,362.951
CUUR0000SEHA,2022,3,361.083
CUUR0000SEHA,2022,2,359.627
CUUR0000SEHA,2022,1,357.737
CUUR0000SEHA,2021,12,355.931
CUUR0000SEHA,2021,11,354.526
CUUR0000SEHA,2021,10,352.892
CUUR0000SEHA,2021,9,351.255
CUUR0000SEHA,2021,8,349.71
CUUR0000SEHA,2021,7,348.469
CUUR0000SEHA,2021,6,347.833
CUUR0000SEHA,2021,5,347.016
CUUR0000SEHA,2021,4,346.267
CUUR0000SEHA,2021,3,345.717
CUUR0000SEHA,2021,2,345.242
CUUR0000SEHA,2021,1,344.758
CUUR0000SEHA,2020,12,344.455
CUUR0000SEHA,2020,11,344.039
CUUR0000SEHA,2020,10,343.615
CUUR0000SEHA,2020,9,342.91
CUUR0000SEHA,2020,8,342.444
CUUR0000SEHA,2020,7,341.95
CUUR0000SEHA,2020,6,341.294
CUUR0000SEHA,2020,5,340.811
CUUR0000SEHA,2020,4,340.135
CUUR0000SEHA,2020,3,339.519
CUUR0000SEHA,2020,2,338.616
CUUR0000SEHA,2020,1,337.825
CUUR0000SEHA,2019,12,336.789
CUUR0000SEHA,2019,11,335.819
CUUR0000SEHA,2019,10,334.68
CUUR0000SEHA,2019,9,333.834
CUUR0000SEHA,2019,8,332.638
CUUR0000SEHA,2019,7,331.605
CUUR0000SEHA,2019,6,330.648
CUUR0000SEHA,2019,5,329.333
CUUR0000SEHA,2019,4,328.678
CUUR0000SEHA,2019,3,327.513
CUUR0000SEHA,2019,2,326.351
CUUR0000SEHA,2019,1,325.597
CUUR0000SEHA,2018,12,324.815
CUUR0000SEHA,2018,11,323.968
CUUR0000SEHA,2018,10,322.628
CUUR0000SEHA,2018,9,321.533
CUUR0000SEHA,2018,8,320.651
CUUR0000SEHA,2018,7,319.351
CUUR0000SEHA,2018,6,318.318
CUUR0000SEHA,2018,5,317.49
CUUR0000SEHA,2018,4,316.763
CUUR0000SEHA,2018,3,315.883
CUUR0000SEHA,2018,2,315.277
CUUR0000SEHA,2018,1,314.788
CUUR0000SEHA,2017,12,313.904
CUUR0000SEHA,2017,11,312.67
CUUR0000SEHA,2017,10,311.501
CUUR0000SEHA,2017,9,310.268
CUUR0000SEHA,2017,8,309.479
CUUR0000SEHA,2017,7,308.173
CUUR0000SEHA,2017,6,307.314
CUUR0000SEHA,2017,5,306.379
CUUR0000SEHA,2017,4,305.477
CUUR0000SEHA,2017,3,304.868
CUUR0000SEHA,2017,2,304.211
CUUR0000SEHA,2017,1,303.467
CUUR0000SEHA,2016,12,302.735
CUUR0000SEHA,2016,11,301.587
CUUR0000SEHA,2016,10,300.4
CUUR0000SEHA,2016,9,298.962
CUUR0000SEHA,2016,8,297.916
CUUR0000SEHA,2016,7,296.862
CUUR0000SEHA,2016,6,295.902
CUUR0000SEHA,2016,5,295.036
CUUR0000SEHA,2016,4,294.175
CUUR0000SEHA,2016,3,293.489
CUUR0000SEHA,2016,2,292.777
CUUR0000SEHA,2016,1,292.004
CUUR0000SEHA,2015,12,291.204
CUUR0000SEHA,2015,11,290.322
CUUR0000SEHA,2015,10,289.428
CUUR0000SEHA,2015,9,288.306
CUUR0000SEHA,2015,8,287.068
CUUR0000SEHA,2015,7,286.09
CUUR0000SEHA,2015,6,285.031
CUUR0000SEHA,2015,5,284.245
CUUR0000SEHA,2015,4,283.598
CUUR0000SEHA,2015,3,283.13
CUUR0000SEHA,2015,2,282.389
CUUR0000SEHA,2015,1,281.572
